,Organizations,Technologies,Slots,Ideas Page,Contact
0,52°North Initiative for Geospatial Open Source Software GmbH,"javascript, java, ogc standards, web services",3,https://wiki.52north.org/bin/view/Projects/GSoC2016ProjectIdeas,http://list.52north.org/mailman/listinfo/gsoc
1,aimacode,"python, java, javascript",3,http://norvig.com/gsoc-ideas.html,https://groups.yahoo.com/neo/groups/aima-talk/info
2,AOSSIE - The Australian National University's Open-Source Software Innovation and Education,"scala, lisp, llvm, python, postgresql",6,https://cecs.anu.edu.au/current-students/student-opportunities/google-summer-code-anu#acton-tabs-link--tabs-0-middle-1,https://cecs.anu.edu.au/current-students/student-opportunities/google-summer-code-anu#acton-tabs-link--tabs-0-middle-3
3,Apache Software Foundation,"java, ruby, python, javascript, couchdb",35,http://s.apache.org/gsoc2016ideas,https://wiki.apache.org/general/IRC
4,ArchC,"c++, python, archc",2,http://www.archc.org/gsoc-2016.html,http://www.archc.org/contact.html
5,ASCEND,"python, c, c/c++",3,http://ascend4.org/Student_projects,http://ascend4.org/Support
6,BeagleBoard.org,"beaglebone, javascript, python, linux, c",6,http://bit.ly/bbgsocideas,"http://webchat.freenode.net/?channels=beagle,beagle-gsoc"
7,Beam Community,"erlang, elixir, xmpp, beam, mqtt",6,https://github.com/beamcommunity/beamcommunity.github.com/wiki,https://beamcommunity.github.io/
8,Berkman Center for Internet and Society,"ruby on rails, javascript, sql/nosql, meteor.js, go",10,http://cyber.law.harvard.edu/gsoc,https://cyber.law.harvard.edu/lists/info/gsoc2016
9,BioJS,"javascript, python",3,http://biojs.net/gsoc,https://gitter.im/biojs/biojs
10,"Biomedical Informatics, Emory University","java, medical imaging, deep learning, hadoop, python",5,http://www.bmi.emory.edu/gsoc2016,https://gsoc2016-bmi.slack.com
11,Blender Foundation,"c, c++, python, opengl",8,http://wiki.blender.org/index.php/Dev:Ref/GoogleSummerOfCode/2016/Ideas,http://wiki.blender.org/index.php/Community:Chat
12,Boston University / XIA,"xia, c, linux kernel, advanced data structures",2,https://github.com/AltraMayor/XIA-for-Linux/wiki/Ideas-list,http://groups.google.com/group/linux-xia
13,BRL-CAD,"opencl, opengl, c/c++, python, tcl",9,http://brlcad.org/wiki/Google_Summer_of_Code/Project_Ideas,http://brlcad.org/wiki/IRC
14,BuildmLearn,"python, django, bootstrap, android",4,https://github.com/BuildmLearn/BuildmLearn-Toolkit/wiki/Google-Summer-of-Code-2016-Ideas,https://groups.google.com/forum/#!forum/buildmlearn
15,Canadian Centre for Computational Genomics (C3G) - Montreal node,"python, r-project, javascript, sql, git",3,https://bitbucket.org/mugqic/gsoc2016/overview,https://bitbucket.org/mugqic/gsoc2016/src/master/mailing_list.md
16,Catrobat,"android, java, html5, web, javascript",7,http://developer.catrobat.org/gsoc_2016_ideas_page.html,https://github.com/Catrobat/Catroid/wiki/Setup-working-environment
17,cBioPortal for Cancer Genomics,"java, javascript, web, html, big data",5,https://github.com/cBioPortal/GSoC/wiki/ideas,https://groups.google.com/forum/#!forum/cbioportal-gsoc
18,CCExtractor Development,"c, video, ffmpeg, subtitles, linux",6,http://www.ccextractor.org/gsoc2016.html,http://www.ccextractor.org/gsoc2016.html#gettingaccepted
19,Celluloid,"ruby, multi-threading, multi-core, zeromq, high-resolution timers",3,https://github.com/celluloid/GSoC/wiki/Ideas-List,https://github.com/celluloid/GSoC/wiki/Communication#internet-relay-chat--irc-
20,Ceph,"c/c++, python, object-storage",4,http://ceph.com/gsoc2016/,http://ceph.com/resources/mailing-list-irc/
21,CERN SFT,"c++, python, javascript, clang",10,http://ep-dep-sft.web.cern.ch/article/198146,http://ep-dep-sft.web.cern.ch/article/198146#contact
22,Chapel,"python, chapel, c, c++, high performance computing",2,http://chapel.cray.com/gsoc/ideas.html,http://chapel.cray.com/developers.html
23,CiviCRM,"php, javascript, mysql, angularjs, d3js",8,https://wiki.civicrm.org/confluence/display/CRM/Google+Summer+of+Code+-+2016,http://webchat.freenode.net/?channels=#civicrm
